,id,url,is_paid,professor,num_subscribers,course_title,price,description
0,289230,https://www.udemy.com/course/learn-angularjs/,True,Anthony Alicea,56504,Learn and Understand AngularJS,175,Includes information on the next version - AngularJS .!
1,364426,https://www.udemy.com/course/understand-javascript/,True,Anthony Alicea,71370,JavaScript Understanding the Weird Parts,175,  	                            Javascript is the language that modern developers need to know and know well. Truly knowing Javascript will get you a job and enable you to build quality web and server applications.
2,1031706,https://www.udemy.com/course/crystal-reiki/,True,Lisa Powers,3616,Crystal Reiki MasterTeacher Certification,95,Become a Certified Crystal Reiki Master/Teacher and learn how you can perform Crystal Reiki sessions on yourself and others as well as teach Crystal Reiki.
3,1039062,https://www.udemy.com/course/webpack-2-the-complete-developers-guide/,True,Stephen Grider,6589,Webpack 2 The Complete Developers Guide,75,Webpack is the premier build tool for React and Angular  applications.
4,437398,https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/,True,Jonas Schmedtmann,35059,Build Responsive Real World Websites with HTML5 and CSS3,195,***Â The # HTML and CSS course in the official Udemy rankings! ***
5,59527,https://www.udemy.com/course/reikicourse/,True,Lisa Powers,40919,Reiki Level I II and MasterTeacher Program,195,  	      Learn about Reiki a universal energy that has been used successfully all over the world to heal emotional physical and energetic imbalances.
6,419658,https://www.udemy.com/course/ebay-drop-shipping-guide-with-no-inventory-work-from-home/,True,David Vu,23565,eBay Drop Shipping Guide with No Inventory  Work From Home,195,"Formerly Known As ""How I made $ my st year selling on Ebay No Inventory"" Course."
7,1101380,https://www.udemy.com/course/seth-godin-on-powerful-presentations/,True,Seth Godin,4494,Seth Godin on Presenting to Persuade,30,You can learn to use Powerpoint or Keynote to make an impact.
8,861624,https://www.udemy.com/course/javascript-es6-tutorial/,True,Stephen Grider,10634,ES6 Javascript The Complete Developers Guide,80,This is the tutorial you've been looking for to master ES Javascript.
9,461160,https://www.udemy.com/course/understand-nodejs/,True,Anthony Alicea,49600,Learn and Understand NodeJS,195,NOTE: This is an EARLY BIRD version of the course meaning all content is not yet published. New content being added as course completion nears!
10,1165258,https://www.udemy.com/course/salesforce-administrator-certification-practice-tests/,True,Mike Wheeler,523,Salesforce Administrator Certification Practice Tests,100,In this course I fully prepare you for what it is like to take the Salesforce Administrator Certification Exam. With  practice exams each of which is timed at  minutes I have carefully hand-crafted each question to put you to the test.
11,1105102,https://www.udemy.com/course/aws-certified-solutions-architect-associate-practice-tests/,True,Ryan Kroonenburg,4287,AWS Certified Solutions Architect  Associate Practice Tests,100,These quizzes are the final step in your test preparation. They are based on the required supplementalÂ reading detailed in the A Cloud Guru AWSÂ Certified Solutions Architect - Associate course and should be taken after having finished both the video lectures and the FAQs/White Papers. As technical information is continuously updated by AWS please refer to the AWSÂ Documentation for the latest information.
12,781532,https://www.udemy.com/course/react-redux-tutorial/,True,Stephen Grider,17252,Advanced React and Redux,140,NOTE: Knowledge of React + Redux is % required! If you are familiar with reducers and action creators you will be fine.
13,9287,https://www.udemy.com/course/excel-tutorial/,True,Infinite Skills,68098,Microsoft Excel 2010 Course Beginners Intermediate Training,50,A Verifiable Certificate of Completion is presented to all students who undertake this course.
14,947098,https://www.udemy.com/course/understanding-typescript/,True,Maximilian SchwarzmÃ¼ller,6607,Understanding TypeScript,110,Most People know TypeScript from Angular . It's the Language you have to use there right?
15,959700,https://www.udemy.com/course/the-complete-react-native-and-redux-course/,True,Stephen Grider,20143,The Complete React Native and Redux Course,95,If you're tired of spinning your wheels learning Swift or Android this is the course for you.
16,705264,https://www.udemy.com/course/react-redux/,True,Stephen Grider,39107,Modern React with Redux,180,Course Last Updated // for React Router v and Redux Form v!
17,475170,https://www.udemy.com/course/seth-godin-freelancer-course/,True,Seth Godin,21777,Seth Godins Freelancer Course,50,Contents and Overview
18,762616,https://www.udemy.com/course/the-complete-sql-bootcamp/,True,Jose Portilla,32447,The Complete SQL Bootcamp,195,Learn how to use SQL quickly and effectively with this course!
19,860148,https://www.udemy.com/course/r-analytics/,True,Kirill Eremenko,6671,R Programming Advanced Analytics In R For Data Science,200,Ready to take your R Programming skills to the next level?
20,937678,https://www.udemy.com/course/tableau10/,True,Kirill Eremenko,11278,Tableau 10 AZ HandsOn Tableau Training For Data Science,200,Learn data visualization through Tableau  and create opportunities for you or key decision makers to discover data patterns such as customer purchase behavior sales trends or production bottlenecks.
21,1034400,https://www.udemy.com/course/the-complete-jenkins-course-for-developers-and-devops/,True,Level Up,11371,The Complete Jenkins Course For Developers and DevOps,25,What is this course about:
22,498972,https://www.udemy.com/course/make-a-game-and-learn-to-code-in-gamemaker-studio/,True,Benjamin Anderson,17678,Become a Game Maker with GameMaker Studio 14,150,This course teaches students how to build a polished platform game in GameMaker Studio .. Students will learn to program in GameMaker Studio's scripting language GameMaker Language (GML).
23,1145430,https://www.udemy.com/course/angular-styling-animations-for-angular-2-and-angular-4/,True,Maximilian SchwarzmÃ¼ller,2823,Angular  Styling  Animations for Angular 2 and Angular 4,100,You finished the business logic of your web page and you're done right?Â No! Adding fitting styles and animations to a web page tremendously improves the user experience!
24,382002,https://www.udemy.com/course/csharp-tutorial-for-beginners/,True,Mosh Hamedani,21181,C Basics for Beginners Learn C Fundamentals by Coding,150,C# is a beautiful cross-platform language that can be used to build variety of applications. With C# you can build mobile apps (for Windows Android and iOS) games web sites and desktop applications.
